,trip_id,arrival_time_x,departure_time_x,stop_id_x,stop_sequence_x,stop_headsign_x,pickup_type_x,drop_off_type_x,shape_dist_traveled_x,timepoint_x,arrival_time_y,departure_time_y,stop_id_y,stop_sequence_y,stop_headsign_y,pickup_type_y,drop_off_type_y,shape_dist_traveled_y,timepoint_y,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
0,t13CD-sl2-p46A-r28,24960.0,24960.0,1020,0,,,,0.0,1,24960.0,24960.0,1020,0,,,,0.0,1,16,2,Red Mile/uk Camp,1,152,1130_shp
1,t13CD-sl2-p46A-r28,24960.0,24960.0,1020,0,,,,0.0,1,25380.0,25380.0,1022,420,,,,5680.925021,1,16,2,Red Mile/uk Camp,1,152,1130_shp
2,t13CD-sl2-p46A-r28,24960.0,24960.0,1020,0,,,,0.0,1,25147.0,25147.0,529,187,,,,2354.056386,0,16,2,Red Mile/uk Camp,1,152,1130_shp
3,t13CD-sl2-p46A-r28,24960.0,24960.0,1020,0,,,,0.0,1,25645.0,25645.0,588,685,,,,9245.25269,0,16,2,Red Mile/uk Camp,1,152,1130_shp
4,t13CD-sl2-p46A-r28,24960.0,24960.0,1020,0,,,,0.0,1,25800.0,25800.0,67,840,,,,10971.529564,1,16,2,Red Mile/uk Camp,1,152,1130_shp
5,t13CD-sl2-p46A-r28,24960.0,24960.0,1020,0,,,,0.0,1,25047.0,25047.0,74,87,,,,973.907534,0,16,2,Red Mile/uk Camp,1,152,1130_shp
6,t13CD-sl2-p46A-r28,25047.0,25047.0,74,87,,,,973.907534,0,24960.0,24960.0,1020,0,,,,0.0,1,16,2,Red Mile/uk Camp,1,152,1130_shp
7,t13CD-sl2-p46A-r28,25047.0,25047.0,74,87,,,,973.907534,0,25380.0,25380.0,1022,420,,,,5680.925021,1,16,2,Red Mile/uk Camp,1,152,1130_shp
8,t13CD-sl2-p46A-r28,25047.0,25047.0,74,87,,,,973.907534,0,25147.0,25147.0,529,187,,,,2354.056386,0,16,2,Red Mile/uk Camp,1,152,1130_shp
9,t13CD-sl2-p46A-r28,25047.0,25047.0,74,87,,,,973.907534,0,25645.0,25645.0,588,685,,,,9245.25269,0,16,2,Red Mile/uk Camp,1,152,1130_shp
10,t13CD-sl2-p46A-r28,25047.0,25047.0,74,87,,,,973.907534,0,25800.0,25800.0,67,840,,,,10971.529564,1,16,2,Red Mile/uk Camp,1,152,1130_shp
11,t13CD-sl2-p46A-r28,25047.0,25047.0,74,87,,,,973.907534,0,25047.0,25047.0,74,87,,,,973.907534,0,16,2,Red Mile/uk Camp,1,152,1130_shp
12,t13CD-sl2-p46A-r28,25147.0,25147.0,529,187,,,,2354.056386,0,24960.0,24960.0,1020,0,,,,0.0,1,16,2,Red Mile/uk Camp,1,152,1130_shp
13,t13CD-sl2-p46A-r28,25147.0,25147.0,529,187,,,,2354.056386,0,25380.0,25380.0,1022,420,,,,5680.925021,1,16,2,Red Mile/uk Camp,1,152,1130_shp
14,t13CD-sl2-p46A-r28,25147.0,25147.0,529,187,,,,2354.056386,0,25147.0,25147.0,529,187,,,,2354.056386,0,16,2,Red Mile/uk Camp,1,152,1130_shp
15,t13CD-sl2-p46A-r28,25147.0,25147.0,529,187,,,,2354.056386,0,25645.0,25645.0,588,685,,,,9245.25269,0,16,2,Red Mile/uk Camp,1,152,1130_shp
16,t13CD-sl2-p46A-r28,25147.0,25147.0,529,187,,,,2354.056386,0,25800.0,25800.0,67,840,,,,10971.529564,1,16,2,Red Mile/uk Camp,1,152,1130_shp
17,t13CD-sl2-p46A-r28,25147.0,25147.0,529,187,,,,2354.056386,0,25047.0,25047.0,74,87,,,,973.907534,0,16,2,Red Mile/uk Camp,1,152,1130_shp
18,t13CD-sl2-p46A-r28,25380.0,25380.0,1022,420,,,,5680.925021,1,24960.0,24960.0,1020,0,,,,0.0,1,16,2,Red Mile/uk Camp,1,152,1130_shp
19,t13CD-sl2-p46A-r28,25380.0,25380.0,1022,420,,,,5680.925021,1,25380.0,25380.0,1022,420,,,,5680.925021,1,16,2,Red Mile/uk Camp,1,152,1130_shp
20,t13CD-sl2-p46A-r28,25380.0,25380.0,1022,420,,,,5680.925021,1,25147.0,25147.0,529,187,,,,2354.056386,0,16,2,Red Mile/uk Camp,1,152,1130_shp
21,t13CD-sl2-p46A-r28,25380.0,25380.0,1022,420,,,,5680.925021,1,25645.0,25645.0,588,685,,,,9245.25269,0,16,2,Red Mile/uk Camp,1,152,1130_shp
22,t13CD-sl2-p46A-r28,25380.0,25380.0,1022,420,,,,5680.925021,1,25800.0,25800.0,67,840,,,,10971.529564,1,16,2,Red Mile/uk Camp,1,152,1130_shp
