,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
0,t21DC-sl2-p6A7-r22,24000.0,24000.0,961,0,,,,0.0,1,36,2,Route 14/white,0,142,1703_shp
1,t21DC-sl2-p6A7-r22,24103.0,24103.0,1136,103,,,,1108.362704,0,36,2,Route 14/white,0,142,1703_shp
2,t21DC-sl2-p6A7-r22,24220.0,24220.0,693,220,,,,2375.851644,0,36,2,Route 14/white,0,142,1703_shp
3,t21DC-sl2-p6A7-r22,24308.0,24308.0,694,308,,,,3201.624274,0,36,2,Route 14/white,0,142,1703_shp
4,t21DC-sl2-p6A7-r22,24360.0,24360.0,695,360,,,,4234.519731,1,36,2,Route 14/white,0,142,1703_shp
5,t21DC-sl2-p6A7-r22,24395.0,24395.0,1053,395,,,,4884.211673,0,36,2,Route 14/white,0,142,1703_shp
6,t21DC-sl2-p6A7-r22,24467.0,24467.0,1054,467,,,,6241.318298,0,36,2,Route 14/white,0,142,1703_shp
7,t21DC-sl2-p6A7-r22,24517.0,24517.0,1055,517,,,,7662.831881,0,36,2,Route 14/white,0,142,1703_shp
8,t21DC-sl2-p6A7-r22,24582.0,24582.0,1137,582,,,,8819.33344,0,36,2,Route 14/white,0,142,1703_shp
9,t21DC-sl2-p6A7-r22,24638.0,24638.0,364,638,,,,9596.267729,0,36,2,Route 14/white,0,142,1703_shp
10,t21DC-sl2-p6A7-r22,24708.0,24708.0,876,708,,,,10828.174303,0,36,2,Route 14/white,0,142,1703_shp
11,t21DC-sl2-p6A7-r22,24780.0,24780.0,67,780,,,,12068.647402,1,36,2,Route 14/white,0,142,1703_shp
12,t21DC-sl2-p6A7-r22,24869.0,24869.0,68,869,,,,13252.489596,0,36,2,Route 14/white,0,142,1703_shp
13,t21DC-sl2-p6A7-r22,24947.0,24947.0,434,947,,,,13871.872415,0,36,2,Route 14/white,0,142,1703_shp
14,t21DC-sl2-p6A7-r22,25013.0,25013.0,885,1013,,,,14607.352967,0,36,2,Route 14/white,0,142,1703_shp
15,t21DC-sl2-p6A7-r22,25208.0,25208.0,886,1208,,,,16788.555828,0,36,2,Route 14/white,0,142,1703_shp
16,t21DC-sl2-p6A7-r22,25328.0,25328.0,887,1328,,,,17998.062599,0,36,2,Route 14/white,0,142,1703_shp
17,t21DC-sl2-p6A7-r22,25440.0,25440.0,961,1440,,,,20897.762853,1,36,2,Route 14/white,0,142,1703_shp
